topics|questions|answers
Assembly|"Codifique em Assembly RISC-V o bubble sort apresentado abaixo em pseudo-código:
https://prnt.sc/26RtV8WiUQfm"|"	.data
   	 .align 2
array:   .word 9, 1, 4, 5, 8, 6, 1, 9
    
    	.text
    	.align 2
   	 .globl main

main:    
    	la s6, array   			 #s6 recebe o endereco do array    

   	 addi, s0, zero, 8   		 #s0 = n (tamanho do array)
   		 
    
    
   	 addi, t1, s0, -1   		 #inicia j (t1) em n-1
    
    addi s1, zero, 1   		 # condicao de parada
    
    
loop1:    blt t1, s1, lp_1   		 #compara j com condicao de parada e pula se for menor (fica se for maior ou igual)
    
   	 addi, t2, zero, 0   	 #inicia i em 0
loop2:   	 bge t2, t1, lp_2   	 #compara i com j e pula se for maior ou igual (fica se for estritamente menor
    
   		 lw t3, 0(s6)   	 #pega vetor[n] e carrega em t3
   		 lw t4, 4(s6)   	 #pega vetor[n+1] e carrega em t4
   		 ble t3, t4, lp_3    #compara n com n+1 e fica se n>n+1
   			 sw t4, 0(s6)    #se n>n+1, trocam de posicao
   			 sw t3, 4(s6)
lp_3:   		 addi t2, t2, 1   	 #incrementa i (t2)
   		 addi s6, s6, 4   	 #incrementa s6
   		 j loop2

lp_2:   	 
   	 la s6, array   		 #volta s6 para inicio do array
   	 addi t1, t1, -1   		 # decrementa j (t1)
   	 j loop1   			 
lp_1:   		 
    
   	 
   	 la s6, array   		 #volta s6 para o inicio do array
imprimir:    ble s0, zero, end   	 #compara o tamanho com zero e para                                     # de imprimir quando acabar o vetor
   	 
   	 lw a0, 0(s6)   		 #carrega o valor apontado por s6
   	 addi a7, zero, 1   	 	#carrega chamada de impressao de numero
   	 ecall   			 #chamada ao sistema
   	 addi s6, s6, 4   		 #incrementa s6
   	 addi s0, s0, -1   		 #decrementa o tamanho
   	 j imprimir   		 	#pula para o loop
   	 
   	 
    
    
    
end:   	 addi, a7, zero, 10
   	 ecall"
Assembly|" Codifique em Assembly RISC-V um programa que soma os valores de um vetor de inteiros de tamanho definido no
próprio programa. Os dados do vetor também podem já estar definidos no código."|".data
.align 2
array: .word 1, 2, 3, 4, 5
.text


main:    

    la s0, array

   	 
    lw t0, 0(s0)
    
    add s1, zero, t0
    
    addi s0, s0, 4

loop:
    lw t0, 0(s0)
    beq t0, zero, fimLoop
    
    add s1, s1, t0 #s1 = total
    addi s0, s0, 4 #s0 = array address
    j loop
    
fimLoop:
    addi a7, 1
    addi a0, s1, zero
    ecall
    
    addi a7, 10
    ecall"
Assembly|"Codifique em Assembly RISC-V um programa que lê uma string fornecida pelo usuário, inverte e imprime ela
invertida."|".data
string: .space 40
stringRev: .space 40
.align 2
.text

main:
    li a7, 8
    la a0, string
    li a1, 40
    ecall
    
    la s0, string
    la s1, stringRev

addToSP:
    lb t0, 0(s0)
    beqz t0, incrementOne
    sb t0, 0(sp)
    addi s0, s0, 1
    addi sp, sp, -1
    
    j addToSP
    
incrementOne:
    lb t1, 0(sp)
    addi sp, sp, 1
    
reverseString:
    lb t0, 0(sp)
    beqz t0, endProgram
    sb t0, 0(s1)
    addi sp, sp, 1
    addi s1, s1, 1
    
    j reverseString
endProgram:
    addi s1, s1, 1
    sb t1, 0(s1)
    
    li a7, 4
    la a0 stringRev
    ecall
    
    li a7, 10
    ecall"
Assembly|Codifique em Assembly RISC-V um programa que implemente a funcionalidade da função strcat().|".data
string: .space 40
string2: .space 40
output: .space 80
.align 2
.text

main:
    li a7, 8
    la a0, string
    li a1, 40
    ecall
    
    la a0, string2
    ecall
    
strcat:
    la s0, string
    la s1, string2
    la s2, output
    
    j loopStr1
    
loopStr1:
    lb t0, 0(s0)
    beqz t0, decrementOne
    sb t0, 0(s2)
    addi s0, s0, 1                                                                                                                                    
    addi s2, s2, 1
    j loopStr1

decrementOne:
    addi s2, s2, -1
    j loopStr2

loopStr2:
    lb t0, 0(s1)
    beqz t0, printStrcat
    sb t0, 0(s2)
    addi s1, s1, 1
    addi s2, s2, 1
    j loopStr2
    
printStrcat:
    li a7, 4
    la a0, output
    ecall
    
    li a7,10
    ecall"
Assembly|Codifique em Assembly RISC-V um programa que implemente a funcionalidade da função strcpy().Codifique em Assembly RISC-V um programa que implemente a funcionalidade da função strcpy().|".data 
.align 0 
string_input: .space 40 
string_copy: .space 40 
.text 
.globl main 

main: 	#Vamos ler a string digitada pelo usuário 	
addi a7, x0, 8 	
addi a1, x0, 40 	
la a0, string_input 	
ecall 	 	

#s0 recebe a0 	
la s0, string_input 	 	
#Carregamos do label para s1 	
la s1, string_copy 	 

charloop: 	
lb t0, 0(s0) 	
beq t0, x0, sai_charloop 	
sb t0, 0(s1) 	 	
addi s0, s0, 1 	
addi s1, s1, 1 	
j charloop 	 

sai_charloop: 	
addi a7, x0, 4 	
la a0, string_copy 	
ecall 	 	

addi a7, x0, 10 	
ecall"
Assembly|Codifique em Assembly RISC-V um programa que implemente a funcionalidade da função strcmp().|".data
string1: .space 40
string2: .space 40

.align 2
.text

main:
    li a7, 8
   	 la a0, string1
   	 li a1, 40
   	 ecall
    
   	 li a7, 8
   	 la a0, string2
    li a1, 40
   	 ecall

str_cmp:
    la s1, string1 #s1 tem o endereco do primeiro byte da string1
   	 la s2, string2 #s2 tem o endereco do primeiro byte da string2
   	 
loop_str_cmp:
    lb t1,0(s1)
    lb t2,0(s2)
    
    beq t1,zero,str1_acabou #se str1 acabou, checa se str2 acabou tbm, dai sao iguais
    beq t2,zero,str1_greater_than_str2 #se str2 acabou mas chegou nessa linha,
   					# significa que s1 ainda nao acabou, printar 1
    
    blt t1,t2,str1_lower_than_str2 #if the first non-matching character
   				 #in str1 is lower (in ASCII) than that of str2
   				 
    bgt t1,t2,str1_greater_than_str2 #if the first non-matching character
   				 #in str1 is greater (in ASCII) than that of str2
    
    addi s1,s1,1 #avanca para o proximo char
    addi s2,s2,1 #avanca para o proximo char
    
    j loop_str_cmp

str1_acabou:
    beq t2,zero,str1_equal_str2 #sao iguais, printar o valor 0
    
    j str1_lower_than_str2 #str2 ainda nao acabou, printar -1

str1_equal_str2:
    addi a7,zero,1
    addi a0,zero,0
    ecall
    
    j encerra

str1_lower_than_str2:
    addi a7,zero,1
    addi a0,zero,-1
    ecall
    
    j encerra    

str1_greater_than_str2:
    addi a7,zero,1
    addi a0,zero,1
    ecall

encerra:
    addi a7,zero,10
    ecall"
Assembly|O que são as instruções de desvio condicional na arquitetura RISC-V? Dê exemplos de instruções de desvio condicional e explique como elas são executadas.|"Na arquitetura RISC-V, as instruções de desvio condicional permitem que o fluxo de execução de um programa seja alterado com base em uma condição específica. Essas instruções verificam uma condição e, dependendo do resultado, desviam para um endereço de destino ou continuam a execução sequencialmente.

Existem diferentes instruções de desvio condicional na arquitetura RISC-V, cada uma com sua própria condição de desvio. Alguns exemplos de instruções de desvio condicional são:

•BEQ (Branch Equal): Desvia para o endereço de destino se dois registradores forem iguais.

•BNE (Branch Not Equal): Desvia para o endereço de destino se dois registradores forem diferentes.

•BLT (Branch Less Than): Desvia para o endereço de destino se o primeiro registrador for menor que o segundo registrador (considerando números com sinal).

•BGE (Branch Greater or Equal): Desvia para o endereço de destino se o primeiro registrador for maior ou igual ao segundo registrador (considerando números com sinal).

Para executar uma instrução de desvio condicional, o processador verifica a condição especificada pela instrução. Se a condição for atendida, o PC (Program Counter) é atualizado para o endereço de destino e a execução continua a partir desse ponto. Caso contrário, o PC é incrementado normalmente e a execução segue para a próxima instrução sequencialmente."
Introducao|O que representa a expressão “computador de n bits”?|"A expressão ""computador de n bits"" refere-se a um computador ou sistema computacional que utiliza um formato específico para representar e manipular dados. Nesse contexto, ""n"" representa o número de bits disponíveis para armazenar informações digitais em cada palavra ou unidade de dados do computador."
Assembly|"O que o trecho de código abaixo faz?

li a0, 5
li a1, 7

add a2, a0, a1

loop:
sub a2, a2, 2
blt a2, 1, end

j loop

end:
"|Nesse código, os valores 5 e 7 são armazenados nos registradores a0 e a1, respectivamente. A soma dos dois números é realizada usando a instrução add e o resultado é armazenado no registrador a2. Em seguida, há um loop que subtrai 2 do valor em a2 repetidamente até que o valor de a2 seja menor que 1. O comando blt (branch if less than) verifica se a2 é menor que 1 e, caso seja verdadeiro, o programa sai do loop e continua para a próxima instrução após o loop.
Monociclo|Quais são os tipos de instruções da arquitetura RISC-V, no conjunto de instruções RV32I?|"São 6 tipos de instrução: 
•R (Register) ex: add
•I (Immediate) ex: addi, lw
•S (Store) ex: sw
•B (Branch) ex: beq
•U (Upper) ex: lui
•J (Jump) ex: j, jal"
Monociclo|Decodifique as seguintes instruções de máquina do RISC-V 0x00500893, 0x000e8533, 0x00afa023 (em hexadecimal) e determine o que elas fazem.|"Para decodificar essas instruções e determinar o que elas fazem, precisamos analisar o formato e os campos das instruções RISC-V.

As instruções RISC-V têm 32 bits de comprimento e são divididas em campos específicos que indicam a operação e os operandos da instrução.

0x00500893:

Formato: I-Type (Immediate Type)
Opcode: 0x13 (addi)
rs1: 0x0 (registrador zero)
rd: 0x1 (registrador t0)
imm: 0x50 (80 em decimal)
Essa instrução realiza a adição imediata. Ela adiciona o valor imediato 80 ao valor do registrador zero (que é sempre 0) e armazena o resultado no registrador t0.

•0x000e8533:

Formato: R-Type (Register Type)
Opcode: 0x33 (add)
rs1: 0x0 (registrador zero)
rs2: 0xe (registrador a6)
rd: 0x1 (registrador t0)
Funct3: 0x0 (função de adição)
Funct7: 0x0 (função de adição)
Essa instrução realiza a adição de dois registradores. Ela adiciona o valor dos registradores zero (0) e a6 e armazena o resultado no registrador t0.

•0x00afa023:

Formato: R-Type (Register Type)
Opcode: 0x33 (sub)
rs1: 0xf (registrador a7)
rs2: 0xa (registrador a5)
rd: 0x1 (registrador t0)
Funct3: 0x0 (função de subtração)
Funct7: 0x0 (função de subtração)
Essa instrução realiza a subtração de dois registradores. Ela subtrai o valor do registrador a5 do valor do registrador a7 e armazena o resultado no registrador t0.

"
Monociclo|"Converta de Assembly RISC-V para Binário ou de Binário para Assembly RISC-V, conforme o caso, as instruções
solicitadas abaixo. Expresse as instruções binárias em hexadecimal, quando for o caso, na coluna mais à direita.
Expresse as instruções em Assembly, quando for o caso, na coluna ""Instruções em Assembly"". A primeira coluna
indica o endereço de memória (em decimal) que a instrução se encontra.
https://prnt.sc/dfbscs137qo3"|"Tabela preenchida:
https://prnt.sc/bFUwVZNeqmMi

Obs 1: Da instrução 2 para a 3, avançou 16 bytes na memória, então o immediate é 16 que em binário é 10000, mas o bit menos significativo Imm[0] não precisa estar na instrução pois ele sempre será zero.
Obs 2:As instruções de branch e jump podem ser vistas como 
beq rs1, rs2, offset
onde Branch Target = PC + offset"
Monociclo|"Considere a seguinte ideia: modificar a arquitetura do conjunto de instruções e retirar a capacidade de especificar um deslocamento para instruções de acesso à memória. Especificamente, todas as instruções load-store com deslocamento diferente de zero devem tornar-se pseudo-instruções e devem ser implementadas por meio de duas instruções. Por exemplo:

addi $at, $t1, 104 # some o deslocamento a um registrador temporário
lw $t0, $at # nova forma de fazer lw $t0, 104($t1)

Que mudanças devem ser feitas no caminho de dados monociclo e no controle para que essa arquitetura simplificada possa funcionar?"|"Caminho de dados:
O caminho que liga a saída da ULA com o “end” na memória de dados pode ser removido, pois agora o cálculo do deslocamento vai ser armazenado em um registrador auxiliar $at e o endereço calculado só será utilizado na segunda pseudo-instrução.
Para a segunda pseudo-instrução, deve haver uma ligação direta entre o “data rs1” do banco de registradores (contém o conteúdo de $at) e o “end” na memória de dados, ignorando a ULA, pois o cálculo do deslocamento já foi realizado na pseudo-instrução anterior. 

Controle:
Para a primeira pseudo-instrução, o valor do MemToReg (sinal de controle do último MUX) deve ser 0. Para a segunda pseudo-instrução, o valor do MemToReg deve ser 1."
Monociclo|Implemente as alterações necessárias para que a CPU RISC-V Monociclo execute a instrução addi <rd>, <rs1>, valor_imediato. Para a sua implementação altere o que for necessário diretamente no caminho de dados monociclo e na tabela da UC vista em sala de aula. Caso você conclua que não precisam ser alterados, mostre porque definindo as conexões usadas para a execução da instrução.|A instrução addi é do Tipo I assim como a lw e o caminho de dados não precisa ser alterado, as alterações devem ser nos sinais de controle gerados pela UC. O sinal MemToReg é 1 na lw mas na addi será 0, assim a gente garante que o que será escrito no rd é o resultado da operação na ULA e não um conteúdo que esteja na memória. O sinal MemRead é 1 na lw mas na addi será 0.
Monociclo|Implemente as alterações necessárias para que a CPU RISC-V Monociclo vista nas aulas execute também a instrução jal <rd>, offset (Jump and Link). Para a sua implementação altere o que for necessário diretamente no caminho de dados monociclo e na tabela da UC vista em sala de aula. Caso você conclua que não precisam ser alterados, mostre porque definindo as conexões usadas para a execução da instrução.|"Em verde, encontram-se as novidades do circuito:
https://prnt.sc/1YK5lgYKfFxZ"
Monociclo|Implemente as alterações necessárias para que a CPU RISC-V Monociclo vista nas aulas execute também a instrução blt <rs1>, <rs2>, valor_imediato (Branch if less than). Para a sua implementação altere o que for necessário diretamente no caminho de dados monociclo e na tabela da UC vista em sala de aula. Caso você conclua que não precisam ser alterados, mostre porque definindo as conexões usadas para a execução da instrução.|"A instrução blt pode ser vista como:
	
	blt rs1, rs2, offset
	PC <-  rs1 < rs2 ?  PC + Imm : PC + 4
	
	Para isso precisamos de rs1 e rs2 na ULA e PC + Imm e PC + 4 chegando ao PC (com um mux para selecionar) 

Caminho de dados:
Se considerarmos mudanças implementadas na questão acima, o caminho de dados não precisaria mudar, pois rs1 e rs2 já chegam na ULA, e o valor de (PC + Imm) chega até o PC

Controle:
	A unidade de controle da ULA irá produzir um sinal de subtração quando a instrução é do tipo B.
	O sinal de jump no mux entre (PC + 4) e (PC + Immediate) seria definido da seguinte forma: 
	Se a instrução é blt (Inst[6..0] == blt.opcode), então verificamos o bit 31 do ALU output (bit de sinal, pois se o número for menor a saída é negativa). Caso a condição seja satisfeita, a saída para o sinal de jump é 1. Até o momento o sinal de controle de jump seria definido como:

UC.jmp = ( inst[6..0] == jal.opcode || (inst[6..0] == blt.opcode && ALU.output[31] == ‘1’) )

(note que a adição de blt, bgt, etc seriam triviais apenas adicionando mais or’s no sinal de controle)"
Monociclo|"São consideradas instruções de memória:
a) lw e sw
b) add e sub
c) or, and e slt
d) beq e bgt"|"A alternativa correta é [a].

As instruções ""lw"" (load word) e ""sw"" (store word) são consideradas instruções de memória na arquitetura RISC-V devido à sua funcionalidade específica relacionada à transferência de dados entre o processador e a memória de dados.
"
Monociclo|Cite as etapas de um ciclo de instrução na arquitetura RISC-V Monociclo.|"•Busca de Instrução (Instruction Fetch): Nessa etapa, a próxima instrução a ser executada é buscada na memória de instruções. O endereço da próxima instrução é obtido do registrador de programa (PC - Program Counter).

•Decodificação de Instrução (Instruction Decode): Após a busca da instrução, ela é decodificada para determinar qual operação deve ser executada e quais operandos estão envolvidos. Os campos da instrução são interpretados para identificar o opcode e os registradores utilizados.

•Execução (Execution): Nesta etapa, a operação da instrução é executada. Pode envolver operações aritméticas, lógicas, de desvio condicional, acesso à memória, entre outras. Os operandos necessários para a operação são buscados nos registradores ou na memória, conforme necessário.

•Acesso à Memória (Memory Access): Se a instrução envolver acesso à memória, como leitura ou escrita, esta etapa será utilizada para realizar a transferência de dados entre o processador e a memória de dados.

•Escrita de Resultado (Write-Back): Nesta etapa, o resultado da operação é armazenado no registrador de destino especificado na instrução. Se a instrução não produzir um resultado que precise ser armazenado em um registrador, essa etapa pode ser ignorada."
Monociclo|Quais são as limitações da arquitetura RISC-V monociclo em termos de desempenho e eficiência?|A arquitetura RISC-V monociclo possui limitações em termos de desempenho e eficiência. Ela apresenta um ciclo de instrução fixo, o que resulta em desperdício de ciclos de clock e menos aproveitamento dos recursos do processador. Além disso, a falta de recursos avançados de otimização e a ausência de mecanismos de execução paralela limitam sua capacidade de processar instruções de forma eficiente. No entanto, é importante considerar que a arquitetura monociclo pode ser adequada para aplicações menos exigentes ou sistemas de menor complexidade, enquanto outras variantes da arquitetura RISC-V oferecem melhor desempenho e eficiência em cenários mais demandantes.
Pipeline|Uma das características das arquiteturas RISC é que a maioria das instruções possuem tamanhos iguais. Quais as consequências e vantagens desta característica? Existe alguma desvantagem?|Uma das vantagens das arquiteturas RISC com instruções de tamanho igual é a simplicidade do projeto e da execução das instruções. Com instruções de tamanho fixo, o decodificador é mais simples e eficiente, resultando em implementações mais fáceis e rápidas. Além disso, a execução de instruções de tamanho igual facilita a implementação de pipelines, onde várias instruções podem ser executadas em paralelo. No entanto, uma desvantagem é que nem todas as instruções têm o mesmo nível de complexidade, o que pode resultar em uso ineficiente do espaço de memória de instruções e possivelmente afetar o desempenho em alguns casos. No geral, as vantagens superam as desvantagens, tornando a utilização de instruções de tamanho igual comum em arquiteturas RISC.
Pipeline|Defina pipeline e sua importância no desempenho dos processadores.|"Pipeline é um tipo de implementação de arquitetura de processadores. A ideia central do pipeline é fazer com que as instruções sejam divididas em etapas e que essas etapas possam ocorrer de forma paralela dentro do processador, assim todas as componentes do processador estão ativas durante a execução de algum programa. O pipeline ideal divide a execução de uma instrução em etapas com tempo muito pequeno, porém ainda paralelizáveis (sem acessar a mesma componente de hardware), pois o ciclo de clock do pipeline é sempre o tempo da etapa mais longa.
A única maneira realmente eficiente de implementar uma arquitetura de processador é usando pipeline, pois o aumento do número de instruções por segundo é muito relevante quando comparado aos outros tipos de arquitetura (mono e multi-ciclo), já que, uma vez que o pipeline enche, o tempo para uma instrução ser completada é igual ao tempo da maior etapa."
Pipeline|"Os 5 estágios de dois processadores (a e b) têm as seguintes latências:
https://prnt.sc/lXXhItK0_sWy
Assuma que, na versão pipeline, cada estágio consome outros 20 ps com os registradores entre os estágios. Para as duas arquiteturas:

a) Na versão não pipeline (monociclo), qual o tempo de ciclo? Qual a latência de uma instrução? Qual o throughput?
b) Na versão pipeline, qual o tempo de ciclo? Qual a latência de uma instrução? Qual o throughput?
c) Se um dos ciclos pudesse ser dividido ao meio, qual você escolheria? Qual o novo tempo de ciclo? Qual a nova latência? Qual o novo throughput?"|"a) 
Para a monociclo o tempo de clock é a soma de todos os estágios, assim:
	CLKa =( 300 + 400 + 250 + 500 + 100) ps = 1550 ps 
CLKb =( 200 + 150 + 120 + 190 + 140) ps = 800 ps

A latência é o tempo gasto para executar uma instrução. No monociclo, a latência é o próprio tempo de ciclo. Então temos:
Latencia a = 1550 ps 
Latencia b = 800 ps

Throughput é o número de instruções executadas por segundo, então teremos:
	Tha =(1/1550)*1012  instruções
Thb =(1/800)*1012    instruções

b)
No pipeline, o tempo de ciclo é o tempo da etapa mais lenta somado ao tempo gasto nos registradores intermediários (nesse exercício: 20ps).
A latência vai ser o tempo de ciclo * número de etapas.

processador a:
	etapa mais lenta é o memory: 500ps
	tempo consumido nos regs intermediários: 20ps
	tempo de ciclo de clock = 500 + 20 = 520ps
	latencia = 5*520 = 2600ps
	throughput = (1/520ps) = (1/520) * 1012 instruções

processador b:
	etapa mais lenta é o fetch: 200ps
	tempo consumido nos regs intermediários: 20ps
	tempo de ciclo de clock = 200 + 20 = 220ps
	latencia = 5*220 = 1100ps
	throughput = (1/220ps) = (1/220) * 1012 instruções

c)
Processador a:
	Dividiria o memory em duas etapas de 250ps, a etapa mais lenta passaria a ser o decode de 400ps.
	O novo tempo de ciclo passaria a ser 400 + 20 = 420ps
	A latência seria 420 * 6 = 2520ps
	O troughput passaria a ser 1/420ps = 1/420 * 10^12 instruções 

Processador b:
	Nem valeria a pena pq a próxima instrução mais lenta é de 190ps, que é quase a mesma coisa que os 200ps, iria ganhar muito pouco em troughput."
Pipeline|"Considere um pipeline de 5 estágios (IF, ID, EX, MEM e WB). Assuma a seguinte distribuição de instruções que são executadas em um processador: 
• 50% são aritméticas/lógicas
• 25% são beq 
• 15% são lw 
• 10 são sw 
Assumindo que o pipeline não vai parar por dependências (dados ou controle), qual a taxa de utilização da memória de dados? Qual a taxa de utilização da porta de escrita no banco de registradores?"|"50% tipo R/I/U excluindo loads -> acesso ao banco para leitura e escrita.
25% tipo B -> acesso ao banco para leitura e alterar o valor do PC.
15% lw -> acesso ao banco para leitura e escrita e à memória para leitura.
10% sw -> acesso ao banco para leitura e à memória para escrita.

Assim temos: Taxa de utilização da memória de dados = 25% (lw + sw) e
Escrita no banco = 65% (aritméticas/lógicas + lw)"
Pipeline|"Faça a simulação da execução da sequência de código abaixo em um pipeline de 5 estágios e mostre qual a situação final dos registradores do pipeline (IF/ID, ID/EX, EX/MEM e MEM/WB), considerando também os sinais de controle, ao final dos ciclos de clock 4 e 7. Considere que a primeira instrução está na posição 0 da memória e que o PC começa com 0. Considere também que t1 e t2 não possuem o mesmo conteúdo quando o código é executado. 
beq t1, t2, 4 
lw s0, 0(t0) 
add s3, s1, s2 
sw s4, 0(t0) 
addi t1, t1, -4"|"Simulação:
https://prnt.sc/P3zxNupJfk_3"
Pipeline|"Considere o seguinte trecho de código 

I0: div t2, t5, t8 
I1: sub t9, t2, t7 
I2: sll t5, a0, 2 
I3: mul a1, t9, t5 
I4: beq t2, a1,100 
I5: or t8, t5, t2 

a) Quais são as dependências de dados verdadeiras? E os hazards? Considere que o pipeline tem 5 estágios. 

b) Assuma um pipeline MIPS de 5 estágios sem forwarding, e que cada estágio demora 1 ciclo. Ao invés de inserir operações nops, você deixa o processador parar quando se tem hazards. Quantos ciclos o processador para? Qual o tamanho de cada parada, em ciclos? Qual o tempo de execução (em ciclos) do programa inteiro? 

c) Assuma um pipeline MIPS de 5 estágios com forwarding total. Escreva o programa com nops para eliminar os hazards."|"a)
Dependências verdadeiras (RAW): 
Linha 1: t2 na depende do resultado da linha 0. 
Linha 3: t9 depende do resultado da linha 1 e t5 depende do resultado da linha 2.
Linha 4: a1 depende do resultado da linha 3 e t2 depende do resultado da linha 0.
Linha 5: t5 depende do resultado da linha 2 e t2 da linha 0.
Hazards:
	Todas as dependências acima são hazards exceto t2 na linha 4 e as dependências da linha 5, pois existem pelo menos duas instruções entre elas, assim o conteúdos dos registradores no banco já está correto.

b)
O programa terá 3 paradas de 2 ciclos cada, assim ele ficará parado por 6 ciclos, pois os hazards sempre ocorrem com instruções nas linhas anteriores (RAW com o rd da instrução imediatamente acima). Para executar n instruções o pipeline com k estágios leva (n + k-1) ciclos, se não houverem interrupções. Considerando que cada estágio leva um ciclo teríamos 10 ciclos, porém houveram 3 paradas de 2 ciclos cada, levando a um total de 16 ciclos para a execução completa do programa.

c)
Para pipeline com forwarding existem nop’s apenas quando há um RAW após uma lw, já que o resultado da lw só está disponível nos registradores MEM/WB, assim com forwarding não seria necessário adicionar nenhum nop, pois não existem instruções do tipo load."
